| epoch   3 |  7600/ 9234 batches | lr 0.0010 | ms/batch 18.00 | loss  4.05 | ppl    57.36
| epoch   3 |  7800/ 9234 batches | lr 0.0010 | ms/batch 17.68 | loss  4.05 | ppl    57.38
| epoch   3 |  8000/ 9234 batches | lr 0.0010 | ms/batch 16.94 | loss  4.03 | ppl    56.14
| epoch   3 |  8200/ 9234 batches | lr 0.0010 | ms/batch 17.45 | loss  4.06 | ppl    57.75
| epoch   3 |  8400/ 9234 batches | lr 0.0010 | ms/batch 17.50 | loss  4.04 | ppl    56.80
| epoch   3 |  8600/ 9234 batches | lr 0.0010 | ms/batch 16.66 | loss  4.04 | ppl    56.98
| epoch   3 |  8800/ 9234 batches | lr 0.0010 | ms/batch 17.38 | loss  4.05 | ppl    57.62
| epoch   3 |  9000/ 9234 batches | lr 0.0010 | ms/batch 17.31 | loss  4.06 | ppl    57.85
| epoch   3 |  9200/ 9234 batches | lr 0.0010 | ms/batch 17.45 | loss  4.06 | ppl    57.97
------------
| end of epoch   3 | time: 171.57s | valid loss  4.02 | valid ppl    55.62
------------
| epoch   4 |   200/ 9234 batches | lr 0.0010 | ms/batch 17.34 | loss  4.05 | ppl    57.27
| epoch   4 |   400/ 9234 batches | lr 0.0010 | ms/batch 17.65 | loss  4.06 | ppl    57.80
| epoch   4 |   600/ 9234 batches | lr 0.0010 | ms/batch 17.62 | loss  4.01 | ppl    55.28
| epoch   4 |   800/ 9234 batches | lr 0.0010 | ms/batch 17.14 | loss  4.04 | ppl    56.72
| epoch   4 |  1000/ 9234 batches | lr 0.0010 | ms/batch 17.59 | loss  4.02 | ppl    55.83
| epoch   4 |  1200/ 9234 batches | lr 0.0010 | ms/batch 16.91 | loss  4.03 | ppl    56.12
| epoch   4 |  1400/ 9234 batches | lr 0.0010 | ms/batch 18.15 | loss  4.05 | ppl    57.27
| epoch   4 |  1600/ 9234 batches | lr 0.0010 | ms/batch 17.43 | loss  4.02 | ppl    55.55
| epoch   4 |  1800/ 9234 batches | lr 0.0010 | ms/batch 17.79 | loss  4.05 | ppl    57.19
| epoch   4 |  2000/ 9234 batches | lr 0.0010 | ms/batch 17.54 | loss  4.04 | ppl    56.56
| epoch   4 |  2200/ 9234 batches | lr 0.0010 | ms/batch 17.67 | loss  4.03 | ppl    56.49
| epoch   4 |  2400/ 9234 batches | lr 0.0010 | ms/batch 16.74 | loss  4.02 | ppl    55.93
| epoch   4 |  2600/ 9234 batches | lr 0.0010 | ms/batch 16.88 | loss  4.01 | ppl    55.03
| epoch   4 |  2800/ 9234 batches | lr 0.0010 | ms/batch 16.97 | loss  4.03 | ppl    56.22
| epoch   4 |  3000/ 9234 batches | lr 0.0010 | ms/batch 18.29 | loss  4.06 | ppl    58.12
| epoch   4 |  3200/ 9234 batches | lr 0.0010 | ms/batch 17.23 | loss  4.02 | ppl    55.50
| epoch   4 |  3400/ 9234 batches | lr 0.0010 | ms/batch 17.70 | loss  4.02 | ppl    55.72
| epoch   4 |  3600/ 9234 batches | lr 0.0010 | ms/batch 17.23 | loss  4.01 | ppl    55.38
| epoch   4 |  3800/ 9234 batches | lr 0.0010 | ms/batch 17.56 | loss  4.02 | ppl    55.86
| epoch   4 |  4000/ 9234 batches | lr 0.0010 | ms/batch 17.30 | loss  4.01 | ppl    54.97
| epoch   4 |  4200/ 9234 batches | lr 0.0010 | ms/batch 17.29 | loss  4.03 | ppl    56.25
| epoch   4 |  4400/ 9234 batches | lr 0.0010 | ms/batch 17.39 | loss  4.02 | ppl    55.83
| epoch   4 |  4600/ 9234 batches | lr 0.0010 | ms/batch 17.78 | loss  4.02 | ppl    55.83
| epoch   4 |  4800/ 9234 batches | lr 0.0010 | ms/batch 17.44 | loss  4.06 | ppl    57.90
| epoch   4 |  5000/ 9234 batches | lr 0.0010 | ms/batch 17.08 | loss  4.03 | ppl    56.14
| epoch   4 |  5200/ 9234 batches | lr 0.0010 | ms/batch 17.25 | loss  4.06 | ppl    57.74
| epoch   4 |  5400/ 9234 batches | lr 0.0010 | ms/batch 17.97 | loss  4.01 | ppl    55.18
| epoch   4 |  5600/ 9234 batches | lr 0.0010 | ms/batch 17.97 | loss  4.02 | ppl    55.84
| epoch   4 |  5800/ 9234 batches | lr 0.0010 | ms/batch 17.90 | loss  4.03 | ppl    56.45
| epoch   4 |  6000/ 9234 batches | lr 0.0010 | ms/batch 17.80 | loss  4.02 | ppl    55.71
| epoch   4 |  6200/ 9234 batches | lr 0.0010 | ms/batch 17.83 | loss  4.03 | ppl    56.31
| epoch   4 |  6400/ 9234 batches | lr 0.0010 | ms/batch 17.95 | loss  4.04 | ppl    56.75
| epoch   4 |  6600/ 9234 batches | lr 0.0010 | ms/batch 17.13 | loss  3.98 | ppl    53.50
| epoch   4 |  6800/ 9234 batches | lr 0.0010 | ms/batch 17.32 | loss  4.01 | ppl    55.29
| epoch   4 |  7000/ 9234 batches | lr 0.0010 | ms/batch 16.95 | loss  4.02 | ppl    55.93
| epoch   4 |  7200/ 9234 batches | lr 0.0010 | ms/batch 17.10 | loss  4.03 | ppl    56.05
| epoch   4 |  7400/ 9234 batches | lr 0.0010 | ms/batch 17.86 | loss  4.04 | ppl    56.55
| epoch   4 |  7600/ 9234 batches | lr 0.0010 | ms/batch 17.68 | loss  4.03 | ppl    56.50
| epoch   4 |  7800/ 9234 batches | lr 0.0010 | ms/batch 16.86 | loss  4.00 | ppl    54.57
| epoch   4 |  8000/ 9234 batches | lr 0.0010 | ms/batch 17.83 | loss  4.03 | ppl    56.01
| epoch   4 |  8200/ 9234 batches | lr 0.0010 | ms/batch 17.15 | loss  4.04 | ppl    57.00
| epoch   4 |  8400/ 9234 batches | lr 0.0010 | ms/batch 16.71 | loss  4.01 | ppl    55.21
| epoch   4 |  8600/ 9234 batches | lr 0.0010 | ms/batch 17.77 | loss  4.04 | ppl    57.09
| epoch   4 |  8800/ 9234 batches | lr 0.0010 | ms/batch 17.24 | loss  4.04 | ppl    56.83
| epoch   4 |  9000/ 9234 batches | lr 0.0010 | ms/batch 17.46 | loss  4.00 | ppl    54.51
| epoch   4 |  9200/ 9234 batches | lr 0.0010 | ms/batch 17.79 | loss  4.04 | ppl    56.63
------------
| end of epoch   4 | time: 172.10s | valid loss  3.99 | valid ppl    54.27
------------
| epoch   5 |   200/ 9234 batches | lr 0.0010 | ms/batch 17.62 | loss  4.03 | ppl    56.22
| epoch   5 |   400/ 9234 batches | lr 0.0010 | ms/batch 17.04 | loss  3.98 | ppl    53.51
| epoch   5 |   600/ 9234 batches | lr 0.0010 | ms/batch 17.56 | loss  3.97 | ppl    53.03
| epoch   5 |   800/ 9234 batches | lr 0.0010 | ms/batch 18.19 | loss  4.01 | ppl    55.27
| epoch   5 |  1000/ 9234 batches | lr 0.0010 | ms/batch 17.05 | loss  3.99 | ppl    54.16
| epoch   5 |  1200/ 9234 batches | lr 0.0010 | ms/batch 17.82 | loss  4.01 | ppl    55.26
| epoch   5 |  1400/ 9234 batches | lr 0.0010 | ms/batch 18.39 | loss  4.02 | ppl    55.68
| epoch   5 |  1600/ 9234 batches | lr 0.0010 | ms/batch 17.53 | loss  4.00 | ppl    54.63
| epoch   5 |  1800/ 9234 batches | lr 0.0010 | ms/batch 17.14 | loss  3.99 | ppl    54.31
| epoch   5 |  2000/ 9234 batches | lr 0.0010 | ms/batch 17.11 | loss  3.99 | ppl    53.85
| epoch   5 |  2200/ 9234 batches | lr 0.0010 | ms/batch 17.48 | loss  3.99 | ppl    53.91
